127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.022939
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.017952
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.088763
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.095744
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.017952
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.026928
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.039893
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.042885
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.045878
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.017951
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.016954
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.074800
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.019948
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.029920
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.046875
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.051861
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.036901
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.010971
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.024934
127.0.0.1, 2022-12-14 23:48:36, GET, /admin/static/_2.22.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000997
